NameLatFinal,Type,NameCzFinal
Sorbus moravica,keř,jeřáb moravský
Sorbus mougeotii,keř,jeřáb Mougeotův
Sorbus omissa,strom,jeřáb opominutý
Sorbus pauca,keř,jeřáb bezdězský
Sorbus pontis-satanae,strom,jeřáb čertův
Sorbus portae-bohemicae,strom,jeřáb soutěskový
Sorbus rhodanthera,keř,jeřáb manětínský
Sorbus sudetica,keř,jeřáb sudetský
Sorbus thayensis,strom,jeřáb podyjský
Sorbus torminalis,strom,"jeřáb břek, břek"
Spiraea ×billardii,keř,tavolník Billardův
Spiraea ×macrothyrsa,keř,tavolník latnatý 
Spiraea ×pseudosalicifolia,keř,tavolník nepravý
Spiraea ×vanhouttei,keř,tavolník van Houtteův
Spiraea alba,keř,tavolník bílý
Spiraea chamaedryfolia,keř,tavolník ožankolistý
Spiraea douglasii,keř,tavolník Douglasův
Spiraea japonica,keř,tavolník japonský
Spiraea salicifolia,keř,tavolník vrbolistý
Staphylea pinnata,keř,klokoč zpeřený
Symphoricarpos albus,keř,pámelník bílý
Symphoricarpos orbiculatus,keř,pámelník červenoplodý
Syringa ×chinensis,keř,šeřík čínský
Syringa vulgaris,strom,šeřík obecný
Tamarix gallica,keř,tamaryšek francouzský
Tamarix parviflora,keř,tamaryšek malokvětý
Taxus baccata,strom,tis červený
Thuja occidentalis,strom,zerav západní
Thuja plicata,strom,"zerav obrovský, zerav řasnatý"
Tilia cordata,strom,"lípa srdčitá, lípa malolistá"
Tilia euchlora,strom,lípa zelená
Tilia platyphyllos,strom,lípa velkolistá
Tilia tomentosa,strom,lípa stříbrná
Toxicodendron pubescens,keř,"škumpovník zákeřný, škumpa zákeřná"
Tsuga canadensis,strom,"tsuga kanadská, jedlovec kanadský"
Ulex europaeus,keř,hlodáš evropský
Ulmus glabra,strom,"jilm drsný, jilm horský"
Ulmus laevis,strom,jilm vaz
Ulmus minor,strom,jilm habrolistý
Vaccinium corymbosum,keř,brusnice chocholičnatá
Viburnum lantana,keř,kalina tušalaj
Viburnum opulus,keř,kalina obecná
Viburnum rhytidophyllum,keř,kalina svraskalá
Viscum album,strom,jmelí bílé
Vitis labrusca,strom,"réva americká, réva liščí"
Vitis riparia,strom,réva pobřežní
Vitis vinifera,keř,réva vinná
Vitis vinifera subsp. vinifera,strom,réva vinná pravá
Weigela floribunda,keř,weigelie mnohokvětá
Weigela florida,keř,weigelie růžová
Wisteria sinensis,strom,vistárie čínská
Xanthocyparis nootkatensis,strom,cypřišek nutkajský
Yucca flaccida,keř,juka povadlá
Zelkova serrata,strom,zelkova pilovitá
